fullVisitorId,channelGrouping,time,country,city,totalTransactionRevenue,transactions,timeOnSite,pageviews,sessionQualityDim,date,visitId,type,productRefundAmount,productQuantity,productPrice,productRevenue,productSKU,v2ProductName,v2ProductCategory,productVariant,currencyCode,itemQuantity,itemRevenue,transactionRevenue,transactionId,pageTitle,searchKeyword,pagePathLevel1,eCommerceAction_type,eCommerceAction_step,eCommerceAction_option
4.82E+18,Organic Search,72567,France,not available in demo dataset,,,73,4,,20170630,1498832880,PAGE,,,14990000,,GGOEYOCR077799,YouTube Hard Cover Journal,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
1.56E+18,Organic Search,53224,United States,not available in demo dataset,,,120,6,,20170117,1484693614,PAGE,,,76990000,,GGOEGEVB070699,Google Bluetooth Speaker-Power Bank,Home/Electronics/,(not set),USD,,,,,Electronics | Google Merchandise Store,,/google+redesign/,0,1,
8.12E+18,Organic Search,0,Czechia,not available in demo dataset,,,39,2,,20170525,1495734943,PAGE,,,0,,9180766,Sport Bag,(not set),(not set),USD,,,,,Google Zipper-front Sports Bag,,/google+redesign/,0,1,
2.80E+18,Direct,25575,United States,San Jose,,,70,6,,20161114,1479171600,PAGE,,,37990000,,GGOEGAAX0627,Google Infant Zip Hood Pink,Home/Apparel/Kid's/Kid's-Infant/,(not set),USD,,,,,Infant | Kids' Apparel | Google Merchandise Store,,/google+redesign/,0,1,
2.35E+18,Organic Search,60018,Canada,not available in demo dataset,,,653,4,1,20170713,1500002319,PAGE,,,14990000,,GGOEYOCR077799,YouTube Hard Cover Journal,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
2.38E+16,Organic Search,25875,Spain,Barcelona,,,52,5,,20161115,1479249630,PAGE,,,51990000,,GGOEGAAX0362,Google Men's Pullover Hoodie Grey,Home/Shop by Brand/Google/,(not set),USD,,,,,Google | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
9.84E+18,Direct,4174,United States,San Bruno,,,4,2,,20160825,1472147819,PAGE,,,24990000,,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Home/Drinkware/,(not set),USD,,,,,Drinkware,,/google+redesign/,0,1,
5.28E+17,Organic Search,0,India,not available in demo dataset,,,,1,,20170402,1491197736,PAGE,,,24990000,,GGOEYHPA003610,YouTube Wool Heather Cap Heather/Black,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
4.71E+18,Organic Search,0,United States,not available in demo dataset,,,,1,,20170412,1492015990,PAGE,,,51990000,,GGOEGAAX0362,Google Men's Pullover Hoodie Grey,Home/Apparel/Men's/Men's-Outerwear/,(not set),USD,,,,,Men's Outerwear | Apparel | Google Merchandise Store,,/google+redesign/,0,1,
7.41E+17,Organic Search,0,Germany,not available in demo dataset,,,,1,,20170416,1492384053,PAGE,,,4990000,,GGOEYDHJ056099,22 oz YouTube Bottle Infuser,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
